id	SNWic0kGH-E
published	2018-11-25 21:34:49
published_unix	1543181689
title	U.S. shuts down major crossing after migrants move toward border
description	U.S. officials closed border crossings at one of the busiest ports of entry between the U.S. and Mexico. The closures come as around 500 migrants who have been gathering in Tijuana, Mexico, made moves toward the border. BBC News Correspondent Will Grant joined CBSN from Tijuana with more.
channelId	UC8p1vwvWtl6T73JiExfWs1g
channelTitle	CBS News
duration	PT3M56S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	CA,AU,JP
licensedContent	1
viewCount	7427
likeCount	951
dislikeCount	111
favoriteCount	0
commentCount	1611
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
