id	IUzMUHhkNVQ
published	2018-06-18 13:48:20
published_unix	1529322500
title	Border patrol official on "zero tolerance": "We created this situation by not doing anything"
description	Manny Padilla, chief of the Rio Grande Valley Sector of Customs and Border Protection, joins "CBS This Morning" to discuss the controversy surrounding the Trump administration's "zero tolerance" policy on immigration. Padilla is responsible for the busiest area of illegal crossings in the country and for implementing the policy. Padilla tells Gayle King that parents separated from their children who were confused is due to "misinformation." Subscribe to the "CBS This Morning" Channel HERE: http://bit.ly/1Q0v2hE Watch "CBS This Morning" HERE: http://bit.ly/1T88yAR Watch the latest installment of "Note to Self," only on "CBS This Morning," HERE: http://cbsn.ws/1Sh8XlB Follow "CBS This Morning" on Instagram HERE: http://bit.ly/1Q7NGnY Like "CBS This Morning" on Facebook HERE: http://on.fb.me/1LhtdvI Follow "CBS This Morning" on Twitter HERE: http://bit.ly/1Xj5W3p Follow "CBS This Morning" on Google+ HERE: http://bit.ly/1SIM4I8 Get the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7T Get your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8 Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B Delivered by Norah O’Donnell and Gayle King, "CBS This Morning" offers a thoughtful, substantive and insightful source of news and information to a daily audience of 3 million viewers. The Emmy Award-winning broadcast presents a mix of daily news, coverage of developing stories of national and global significance, and interviews with leading figures in politics, business and entertainment. Check local listings for "CBS This Morning" broadcast times.
channelId	UC-SJ6nODDmufqBzPBwCvYvQ
channelTitle	CBS This Morning
duration	PT5M56S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	AU,CA,JP
licensedContent	1
viewCount	53600
likeCount	483
dislikeCount	146
favoriteCount	0
commentCount	837
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
