id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugztr1IGfDHwD0yS2694AaABAg	0	0	2018-09-02 02:38:15	Chris Cannova	CBS is the enemy they are liars and trash fake news Are used to work for them	UC2lpz3cuwe-AQcyFIT4fLGg	http://www.youtube.com/channel/UC2lpz3cuwe-AQcyFIT4fLGg	0		
UgzKfGhTuTNP7ZoLPVl4AaABAg	0	0	2018-08-03 04:53:06	Simon Templar	There are no &quot;new&quot; conditions. You guys are so desperate to paint a dark cloud over the USA Commander in Chief. <br />The &quot;zero tolerance&quot; is simply stating there will be NO MORE leniency of people breaking the law, and that ALL violators if the existing law since 2014 will be properly enforced.<br /><br />Likewise when you see signs across the USA of &quot;zero tolerance&quot; drug trafficking, speeding on certain stretches of highway (should be zero tolerance on every highway, every day).<br /><br />People who are offended of this zero tolerance statement after themselves criminals. You are stating that it&#39;s okay to key some people break the law and get away with it. This is the center of the problem with our country to this day. Let&#39;s be harsh on some but lenient towards others. WRONG CONCEPT in keeping a civilized nation.	UCOxwIrNyCms8ei_0lO6pmWQ	http://www.youtube.com/channel/UCOxwIrNyCms8ei_0lO6pmWQ	0		
Ugx-YzSRYHXHP1tmR6h4AaABAg	0	0	2018-08-03 04:38:01	Simon Templar	LMAO, she doesn&#39;t want to go back to when the enforcement started under Obama.	UCOxwIrNyCms8ei_0lO6pmWQ	http://www.youtube.com/channel/UCOxwIrNyCms8ei_0lO6pmWQ	0		
Ugzsasg_wDxbH5yTenl4AaABAg	0	0	2018-07-29 03:05:38	Jayson	&quot;2014 we started detaining&quot; &quot;let me stop you there i dont want to go back to 2014&quot; <br />Applying for asylum is as easy as going to <a href="http://uscis.gov/">uscis.gov</a> and filling out an application for asylum form I-589. you can do this anywhere in the world. if youre sneaking through a hole in the border fence in the middle of the night you probably are not here seeking asylum.	UCz0v35_aFn8MIncQywY_JxA	http://www.youtube.com/channel/UCz0v35_aFn8MIncQywY_JxA	0		
UgzLCc3Cq0EQh-QSZJp4AaABAg	0	1	2018-07-28 14:04:02	WAYNE FG	Don’t come here and you won’t be separated from your kids and deported.	UCJkZ4LOjt43bNVb43P5SMiQ	http://www.youtube.com/channel/UCJkZ4LOjt43bNVb43P5SMiQ	0		
UgyJ2b6rHR_4qoYx9aN4AaABAg	0	0	2018-07-23 15:46:33	Tyler Hensley	Wow! Misinformation? She talked directly to the people that lost their children!	UCtfdzrifNGn8HJekk-ylucg	http://www.youtube.com/channel/UCtfdzrifNGn8HJekk-ylucg	0		
UgxWocUadVkvECA2jtV4AaABAg	0	0	2018-07-17 21:30:26	Njabulo Ncube	You have the resistance, the collaborators, the rich and powerful, and the poor and offcourse the main rulers in the land.	UCTcw0S6hIbBbCD3tVLhQt8A	http://www.youtube.com/channel/UCTcw0S6hIbBbCD3tVLhQt8A	0		
Ugy2QS90KiLvx2qUMTF4AaABAg	0	0	2018-07-17 21:28:21	Njabulo Ncube	These governments are preparing us for extreme human rights violations. Your children separated from you thats a bloody big deal.	UCTcw0S6hIbBbCD3tVLhQt8A	http://www.youtube.com/channel/UCTcw0S6hIbBbCD3tVLhQt8A	0		
UgzO_yCdCUNTUHPFQqd4AaABAg	0	0	2018-07-17 21:26:19	Njabulo Ncube	Look at the bigger picture	UCTcw0S6hIbBbCD3tVLhQt8A	http://www.youtube.com/channel/UCTcw0S6hIbBbCD3tVLhQt8A	0		
UgxL1MvDXkS-A9Iw4jZ4AaABAg	0	0	2018-07-17 03:05:21	Eder Lopez	The border patrol is Mexican whitewash	UC8zFNYdC42dtowSLLBRVmmQ	http://www.youtube.com/channel/UC8zFNYdC42dtowSLLBRVmmQ	0		
UgypzYjEN3rPmTZuTfN4AaABAg	0	0	2018-07-16 21:17:50	Mister Man	White Hate and the Mexicans who &#39;&#39;Think&#39;&#39; they are other than that	UC9MMDj9X6QOFzDyYelVlmHQ	http://www.youtube.com/channel/UC9MMDj9X6QOFzDyYelVlmHQ	0		
Ugwdt3_Ff5NdsGaHpyt4AaABAg	0	0	2018-07-16 20:42:36	Terry Mair	Misinformation, I guess it depends on who you choose to believe, an illegal alien hoping to get public opinion and the one sided news on their side, or the agent who has to deal with it!	UCPcoC6xaFZ8zISlSZH6SoQg	http://www.youtube.com/channel/UCPcoC6xaFZ8zISlSZH6SoQg	0		
UgxIgvejqSknp_t-ly54AaABAg	0	0	2018-07-16 04:01:54	Ray Charron	Zero tolerance. Tell those illegals not to do it. If they do, they will get shot. Don’t bring your kids with you or send your kids on first. Get deported with them or without them. It is your decision. Go back home. We don’t want you here with or without kids.	UCq5YbtWsXEpfWlBabD1aFgQ	http://www.youtube.com/channel/UCq5YbtWsXEpfWlBabD1aFgQ	0		
UgwHboeGWm0EQ6dEuIV4AaABAg	0	0	2018-07-08 16:38:08	Beth Lind	The parents need to stay in their own countries to build them up so they are live able. Look how well Columbia is doing. Columbia is the only Central American country which now a normal country.!!	UCiWclga6FeBS4OVa20r_igw	http://www.youtube.com/channel/UCiWclga6FeBS4OVa20r_igw	0		
UgwOXt41dXFsTpXy1TJ4AaABAg	0	0	2018-07-08 02:39:18	Erika Hnrdzfab	he&#39;s so full of b.s. when asked about the children n parents being separated	UCfkfJOV2t6hnY9ZSouvWdzA	http://www.youtube.com/channel/UCfkfJOV2t6hnY9ZSouvWdzA	0		
UgybhdgIeq88-rlf7kp4AaABAg	0	0	2018-07-06 22:07:50	Jeffrey Marye	Gail King whao she gets upset with the guy for telling the truth. One wonders if she&#39;d be so tough with say Vladimir Putin?? Jack Nicholson&quot;you can&#39;t handle the truth&quot;!!! Suck it Gail !!!!!!	UC-iNDZh8BeZFxNbOFonHQig	http://www.youtube.com/channel/UC-iNDZh8BeZFxNbOFonHQig	0		
UgzuETCsS-EwrGYDHMh4AaABAg	0	0	2018-07-06 17:01:46	Bobby Harper	Before zero tolerance we simply caught people entering illegally with their families and set them free in the US. Obama&#39;s sanctuary border patrols.	UCeWghl44P5kXixd0OgMwAow	http://www.youtube.com/channel/UCeWghl44P5kXixd0OgMwAow	0		
UgwnJW0nI4iHD2cJYdF4AaABAg	0	0	2018-07-06 01:59:41	Demon 268	She doesn&#39;t want to go back to 2014 funny	UCwf5rQK8QLKKAmr_lmWryrg	http://www.youtube.com/channel/UCwf5rQK8QLKKAmr_lmWryrg	0		
UgxC0pTeCj2u_UwCTHt4AaABAg	0	0	2018-07-05 21:41:24	Sallie C	So biased. The border patrol stated clearly he started doing this since 2014 abd that he believes we need to be strict	UCTHYQNt6dmfnCjbKaj4DLow	http://www.youtube.com/channel/UCTHYQNt6dmfnCjbKaj4DLow	0		
UgznV5_h0d_aNkBa-7J4AaABAg	0	0	2018-07-04 22:35:58	Arthur Vera	Biggest waste of money I work 30 miles from the border in Texas they sit on the side of the road and do nothing all day.	UCw9etI6sH5xWJ4F9kELeJtA	http://www.youtube.com/channel/UCw9etI6sH5xWJ4F9kELeJtA	0		
Ugy3B0RliueAug_OGpN4AaABAg	0	0	2018-07-04 16:56:58	It's Me	Right on, Chief Padilla. Thank you for serving the American people by trying to keep our borders safe. I’m sorry you had to deal with a biased, emotional talk show host.	UCz_B42mKeNYX6AjVlqLrApA	http://www.youtube.com/channel/UCz_B42mKeNYX6AjVlqLrApA	0		
UgyqSS8oB5MzqGMJSFp4AaABAg	0	0	2018-07-03 07:00:03	Alex P	Why bother interviewing a border patrol chief? He got his position by lying and cheating, just like Con man Trump. It is just another false narrative justifying Trump&#39;s position. Less than 1% of the illegals crossings are by MS-13 using children. Gail should be on Fox news if this is the type reporting she is into. Detaining children and families by making them lining up for federal courts is all about making money. 950 millions are being paid to NGOs and housing related facilities. It is all about money folks!	UCxPil_GZqjLAEq3zX4QriIw	http://www.youtube.com/channel/UCxPil_GZqjLAEq3zX4QriIw	0		
UgyE2WaA5kYg81E07x94AaABAg	0	0	2018-07-03 06:58:24	Robert	Would be strange if Amaricans would go to prison with there kids in the same prison cell.. Lol But they don&#39;t they get separated when the parents break the law and go to jail..	UC1ml4rNQqtR3JfkJz0vQ_hg	http://www.youtube.com/channel/UC1ml4rNQqtR3JfkJz0vQ_hg	0		
UgxzJ6mFqnPBJHWA4h54AaABAg	0	0	2018-07-03 04:33:32	HedyLamarr, 8888888	<a href="https://youtu.be/-XC8GXNEYf8?t=59s">https://youtu.be/-XC8GXNEYf8?t=59s</a><br />Any Thoughts?! <br />This 4th we stand up as the land of the free, we demand we uphold our moral decree!	UCZUFArvcddTYujd-q3m-DKw	http://www.youtube.com/channel/UCZUFArvcddTYujd-q3m-DKw	0		
Ugwdyn77U_KoIn70-J94AaABAg	0	0	2018-07-03 00:16:59	Yia 1	Gayle should be talking about us citizens that break the law an get separated from their kids lol <br />She’s a Joke	UCnhk8441J4sBVjM3PoTMEbw	http://www.youtube.com/channel/UCnhk8441J4sBVjM3PoTMEbw	0		
UgxaK5f4HDn1gD6YBbV4AaABAg	0	0	2018-07-02 06:36:01	Argon	Send them nibbas back over the wall	UCm22CA7Dbc2LbLEJqJmwFCg	http://www.youtube.com/channel/UCm22CA7Dbc2LbLEJqJmwFCg	0		
UgyiC7KPaphDx-q7jbB4AaABAg	0	0	2018-07-02 05:04:24	Adaliz Schröder	He a Mexican too tho lol	UC4dfD2WrEhCnI1cKA4t8LDg	http://www.youtube.com/channel/UC4dfD2WrEhCnI1cKA4t8LDg	0		
Ugxft80DXleZf-V5yo54AaABAg	0	0	2018-07-02 02:38:56	Impitch Foty Fibe	This wouldn&#39;t be an issue if Hillary would have won. These protesting and this issue is just to take shots at Trump. if people think they are protesting trying to fix an issue, they are clueless as my left nut. These issues are created by the left and it&#39;s their campaign for future elections. Don&#39;t be stupid and know the truth. The left are the enemy. They&#39;ve sold their souls to the devil	UCvZjzhfGkexG5py8g_z7yVw	http://www.youtube.com/channel/UCvZjzhfGkexG5py8g_z7yVw	0		
UgyvfM46J4zMPyuD0jp4AaABAg	0	0	2018-07-01 20:00:12	Jahra Hamid	we can&#39;t trust you Gail. zero trust .	UCqRCV8HNKlpFCxImG-ofRlA	http://www.youtube.com/channel/UCqRCV8HNKlpFCxImG-ofRlA	0		
