id	eGuSdXiFtLk
published	2018-06-19 23:28:45
published_unix	1529443725
title	Border patrol agent: Kids are treated humanely
description	Border patrol agent Chris Cabrera assures CNN's Brooke Baldwin that children separated from their parents at the border are treated humanely.
channelId	UCupvZG-5ko_eiXAupbDfxWw
channelTitle	CNN
duration	PT10M39S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	1040766
likeCount	3218
dislikeCount	1452
favoriteCount	0
commentCount	6180
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
