id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxTf2-SQg5a05TbsCZ4AaABAg	0	0	2018-11-26 00:08:21	Hueborn	Sorry. We still have plenty of illegals to ship out. Get rid of those first, then we can talk about other things.	UCkV3Bj3fHez53q_1JRTIISw	http://www.youtube.com/channel/UCkV3Bj3fHez53q_1JRTIISw	0		
Ugzsq3TDlFPTL3RsHuZ4AaABAg	0	0	2018-11-26 00:08:16	Kc Kc	Don’t let them in. They are not even in and have started the violence already (@ <a href="https://www.youtube.com/watch?v=SNWic0kGH-E&amp;t=3m28s">3:28</a>) hitting the border police with a 2X4 smh	UCzPFtzdjIUIwUmkZMiKpGJw	http://www.youtube.com/channel/UCzPFtzdjIUIwUmkZMiKpGJw	0		
UgwW3U90wbgWF-b4FHR4AaABAg	0	0	2018-11-26 00:07:34	Scott Terry	Go back home. Fight to make your country better.	UCRxTyVrE4zHehquNxJ6W7pw	http://www.youtube.com/channel/UCRxTyVrE4zHehquNxJ6W7pw	0		
UgzFoKwheslnbGzZbJN4AaABAg	0	0	2018-11-26 00:07:34	Mario Toledo	If they want a better future give us their women and we will breed them in trap houses and put them to work	UCKAr5VMuy4TDhD6LcNOgfiA	http://www.youtube.com/channel/UCKAr5VMuy4TDhD6LcNOgfiA	0		
UgzByRcL_FZ22O-LWDR4AaABAg	0	0	2018-11-26 00:07:33	Christopher Marcek	They just want to start trouble not interested in bettering their lives.	UCbvBiGRVn9dkXdyiCjsKfrg	http://www.youtube.com/channel/UCbvBiGRVn9dkXdyiCjsKfrg	0		
UgwuGomZzprqGW1mbQ14AaABAg	0	0	2018-11-26 00:07:32	SanDiego	INVADERS refused Mexican asylum, refused Mexican jobs, refused Mexican food ... INVADERS are thirsty to RAPE and PILLAGE the USA and control the drug trade in America!!!!	UClCajSDcjGmHzcIQKLIim0A	http://www.youtube.com/channel/UClCajSDcjGmHzcIQKLIim0A	0		
UgzLf0UKeyxQEZfIB2F4AaABAg	0	0	2018-11-26 00:07:25	HotWheels K!NG	They all have new clothes and shoes. There is something wrong with this whole picture. They have supposedly walked hundreds of miles. Shoes and clothes would be in tatters. Yet all I see is well fed freshly clothed individuals.	UC-ms3FUIw5n4uw6rdiHVG8g	http://www.youtube.com/channel/UC-ms3FUIw5n4uw6rdiHVG8g	0		
UgwIsJr0e0G6UtAUIyd4AaABAg	0	0	2018-11-26 00:07:18	David Rivas	I don&#39;t get it, once they get in the u.s. , what are they going to do and where are they going to stay or sleep	UCRdem3nMvSCfrujlHjE33Nw	http://www.youtube.com/channel/UCRdem3nMvSCfrujlHjE33Nw	0		
UgzzPCJB1So5J3ja5P14AaABAg	0	0	2018-11-26 00:07:10	ÆRO ŠPECIALIST	IF TRUMP CRASH LANDS IN AIRFORCE ONE IN MEXICO: <a href="https://youtu.be/PYYZFcvQfRg">https://youtu.be/PYYZFcvQfRg</a>	UCjpomXWmd6-I5i6n2vjCYtA	http://www.youtube.com/channel/UCjpomXWmd6-I5i6n2vjCYtA	0		
UgzZsHmwqbVTUNGA5lp4AaABAg	0	0	2018-11-26 00:07:08	Mario Toledo	We just need their women	UCKAr5VMuy4TDhD6LcNOgfiA	http://www.youtube.com/channel/UCKAr5VMuy4TDhD6LcNOgfiA	0		
UgyDUSox1FUh1Nzvjph4AaABAg	0	0	2018-11-26 00:06:58	NPC Hive Mindset	More than 500 you liars.	UCrZbU0B2-3XJRzJQWMojwWQ	http://www.youtube.com/channel/UCrZbU0B2-3XJRzJQWMojwWQ	0		
