Keywords Searched,position,channelId,Scrape ID#,channelTitle,video Id,publishedAt,published at,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,Scraped?
Border + Mexico,1,UCupvZG-5ko_eiXAupbDfxWw,1,CNN,tlcj-9yYRYk,2019-01-04T20:21:02.000Z,2019-01-04 20:21:02,CNN reporter presses Trump: You promised Mexico would pay for wall,CNN's Kaitlan Collins presses President Trump on his promise that Mexico will pay for a border wall on the US-Mexico border.,25,News & Politics,PT10M,600,2d,hd,FALSE,1,6802348,46554,19288,0,73834,TRUE
,3,UCupvZG-5ko_eiXAupbDfxWw,2,CNN,KWcmZ8hozvU,2019-01-09T02:17:47.000Z,2019-01-09 2:17:47,Trump's full speech from Oval Office on shutdown and border wall (Full national address),President Donald Trump made his case for funding for a border wall on the US-Mexico border during a national address to the nation from the White House Oval Office. #Trump #CNN #News,25,News & Politics,PT9M32S,572,2d,hd,FALSE,1,1884794,21809,33388,0,41091,TRUE
,9,UCupvZG-5ko_eiXAupbDfxWw,3,CNN,pxsFfqCNf3Y,2018-10-20T01:06:45.000Z,2018-10-20 1:06:45,Migrant caravan hit with tear gas on Mexican border,A chaotic scene unfolded as a massive caravan of Honduran migrants reached the Guatemala-Mexico border Friday. A surge of migrants broke through a steel fence that had been padlocked shut. Mexican police in riot gear set off smoke canisters and pushed them back. #CNN #News,25,News & Politics,PT10M39S,639,2d,hd,FALSE,1,911024,6728,9327,0,28493,TRUE
,6,UCod8IyoN-ua9gDxlDpoEklQ,4,kytekuttertv,Hvw-YstQD28,2018-11-17T12:00:03.000Z,2018-11-17 12:00:03,Migrant Caravan Turns Violent Trying To Illegally Cross US Border (Full Compilation),The debate continues on illegal undocumented immigration in the US.,25,News & Politics,PT51M41S,3101,2d,hd,FALSE,,1200785,10901,1300,0,16786,TRUE
,10,UCkH1uDkyuO9sVjSqdqBygOg,5,CBS Los Angeles,IbCq90X4hr4,2018-10-20T04:21:44.000Z,2018-10-20 4:21:44,Mexico Border Gate Torn Down As Migrant Caravan Heads North Towards US,"A caravan of about 3,000 Central American migrants heading for the U.S. border has broken through the southern border crossing of Mexico.",25,News & Politics,PT3M33S,213,2d,hd,TRUE,1,899575,5775,2348,0,12552,TRUE
,5,UCaeO5vkdj5xOQHp4UmIN6dw,6,The Daily Wire,VgQUby6bT-4,2018-11-05T17:49:27.000Z,2018-11-05 17:49:27,I Went To The Border. We Need A Wall.,Do we need a wall? Is the border as porous as President Trump says it is? Kassy Dillon travels to the U.S.-Mexico border to see what's really going on.,24,Entertainment,PT4M32S,272,2d,hd,FALSE,1,1246638,40980,7314,0,10052,TRUE
,7,UCZaT_X_mc0BI-djXOlfhqWQ,7,VICE News,gBvxN1dP-bg,2019-02-17T16:00:03.000Z,2019-02-17 16:00:03,We Camped Out On The Border To See What The So-Called Crisis Looks Like (HBO),"In his never-ending push for a border wall, President Trump regularly warns of dangerous criminals pouring into the country, and horrific things happening to migrants when they try to make the journey north. Like women getting kidnapped, thrown into cars, and smuggled across unwalled sections of the border. He told one such harrowing tale on live TV in the Rose Garden on January 25. He was announcing a temporary end to the government shutdown, but the assembled reporters were also treated to a minute-long yarn about kidnapped migrants. Scary stuff (if unsubstantiated). So in the spirit of fact-checking, VICE News’ Alzo Slade went to the bootheel of New Mexico, an area that's seen an increase in Central American migrants seeking asylum in recent months, to hear if its residents had seen anything resembling Trump’s claims. Spoiler alert: They hadn’t. But just to be thorough, Alzo pitched a tent along an unwalled section of the border separating the U.S. from Mexico to see if he could catch those “criminal cartels, narco-terrorists, transnational gangs like MS-13 and human traffickers” the president says are pouring over the unwalled border before “they make a left or a right into the United States of America.” What Alzo saw won’t surprise you either. Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News Check out VICE News for more: http://vicenews.com Follow VICE News here: Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Tumblr: http://vicenews.tumblr.com/ Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo",25,News & Politics,PT6M16S,376,2d,hd,FALSE,1,951705,12526,8833,0,9701,TRUE
,12,UCDmNmxF3ZVMeGyvWE9tOqPQ,8,ABC13 Houston,TZSwWcwuBe8,2018-11-19T19:17:36.000Z,2018-11-19 19:17:36,"Inside the migrant caravan camp in Tijuana, Mexico","The United States closed off northbound traffic for several hours at the busiest border crossing with Mexico to install new security barriers on Monday, a day after hundreds of Tijuana residents protested against the presence of thousands of Central American migrants. The U.S. also closed one of two pedestrian crossings at the San Ysidro crossing in a move apparently aimed at preventing any mass rush of migrants across the border. The installation of movable, wire-topped barriers threatens to complicate life for Mexicans using San Ysidro, where about 110,000 people enter the U.S. every day in 40,000 vehicles. Long lines backed up in Tijuana, where many people have to cross the border to work on the U.S. side. Such inconveniences prompted by the arrival of the migrant caravan may have played a role in Sunday's protests, when about 400 Tijuana residents waved Mexican flags, sang the Mexican national anthem and chanted ""Out! Out!"" referring to the migrant caravan that arrived in the border city last week. MORE ON THIS STORY: https://abc13.com/4717731/",25,News & Politics,PT19M42S,1182,2d,hd,FALSE,1,804151,3661,2687,0,9681,TRUE
,4,UCupvZG-5ko_eiXAupbDfxWw,9,CNN,p81FTsW6TyQ,2019-01-04T21:05:08.000Z,2019-01-04 21:05:08,"Trump grilled over shutdown, border wall (entire Rose Garden Q&A)","President Donald Trump answered questions about the federal government shutdown and the border wall where he stated he does not need congressional approval to build a wall on the southern US border, repeated his claim that Mexico will pay for the wall and that he would use eminent domain to secure the land to build the wall. #trump #rosegarden #CNN #News",25,News & Politics,PT36M56S,2216,2d,hd,FALSE,1,1608196,5955,2792,0,9370,TRUE
,28,UCXIJgqnII2ZOINSWNOGFThA,10,Fox News,2wF0gOJ3V5Y,2018-10-29T22:47:02.000Z,2018-10-29 22:47:02,"Trump sends 5,200 troops to US-Mexico border","In a news conference by the Defense Department, officials announced that the Trump administration will be deploying 5,200 support troops- mostly engineering and medical personnel- in response to the migrant caravan pushing forward through Mexico. FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most watched television news channel for more than 16 years and according to a Suffolk University/USA Today poll, is the most trusted television news source in the country. Owned by 21st Century Fox, FNC is available in more than 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre. Subscribe to Fox News! https://bit.ly/2vBUvAS Watch more Fox News Video: http://video.foxnews.com Watch Fox News Channel Live: http://www.foxnewsgo.com/ Watch full episodes of your favorite shows The Five: http://video.foxnews.com/playlist/longform-the-five/ Special Report with Bret Baier: http://video.foxnews.com/playlist/longform-special-report/ The Story with Martha Maccallum: http://video.foxnews.com/playlist/longform-the-story-with-martha-maccallum/ Tucker Carlson Tonight http://video.foxnews.com/playlist/longform-tucker-carlson-tonight/ Hannity http://video.foxnews.com/playlist/longform-hannity/ The Ingraham Angle: http://video.foxnews.com/playlist/longform-the-ingraham-angle/ Fox News @ Night: http://video.foxnews.com/playlist/longform-fox-news-night/ Follow Fox News on Facebook: https://www.facebook.com/FoxNews/ Follow Fox News on Twitter: https://twitter.com/FoxNews/ Follow Fox News on Instagram: https://www.instagram.com/foxnews/",25,News & Politics,PT3M59S,239,2d,hd,TRUE,1,398101,11864,533,0,8423,TRUE
