id	6_35a7sn6ds
published	2017-06-28 14:24:47
published_unix	1498652687
title	The Hamilton Mixtape: Immigrants (We Get The Job Done)
description	Official music video for Immigrants (We Get The Job Done) by K'naan featuring Residente, Riz MC & Snow Tha Product Donate $10 to Lin-Manuel’s Immigrants: We Get The Job Done Coalition at: http://bit.ly/2tOfD3A and win a chance to attend the Los Angeles opening of Hamilton Buy/Stream The Hamilton Mixtape Here: https://Atlantic.lnk.to/HamiltonMixtape Directed By Tomás Whitmore Produced by Kimberly Stuckwisch, Melora Donoghue Executive Produced by Lin-Manuel Miranda, Robert Rodriguez, Kimberly Stuckwisch, Ian Blair Production Company Diktator Director of Photography Drew Bienemann Production Designer Spencer Graves Editor Tomás Whitmore, Alexander Aquino Costume Designer Christina Flannery Casting Director Michael Beaudry Visual FX by Giant Propeller Color by MPC LA Post Sound provided by Unbridled Sound
channelId	UCKhSqWRvBtjlivrs_xeT5aQ
channelTitle	Hamilton: An American Musical
duration	PT6M8S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	
viewCount	5654296
likeCount	180451
dislikeCount	9510
favoriteCount	0
commentCount	12298
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
